OriginalLinks,Output,Comments
https://blog.talosintelligence.com/highlighting-ta866-asylum-ambuscade/,https://microsoftapc-my.sharepoint.com/personal/xuafeng_microsoft_com/Documents/Documents/AutomatedThreatResearch/AgentGenRepoort/highlighting-ta866-asylum-ambuscade.md,XXX
https://www.bleepingcomputer.com/news/security/bumblebee-malware-returns-after-recent-law-enforcement-disruption/,https://microsoftapc-my.sharepoint.com/personal/xuafeng_microsoft_com/Documents/Documents/AutomatedThreatResearch/AgentGenRepoort/bumblebee-malware-returns-after-recent-law-enforcement-disruption.md,XXX
https://global.ptsecurity.com/analytics/pt-esc-threat-intelligence/fake-attachment-roundcube-mail-server-attacks-exploit-cve-2024-37383-vulnerability,https://microsoftapc-my.sharepoint.com/personal/xuafeng_microsoft_com/Documents/Documents/AutomatedThreatResearch/AgentGenRepoort/fake-attachment-roundcube-mail-server-attacks-exploit-cve-2024-37383-vulnerability.md,XXX
https://www.cybereason.com/blog/threat-analysis-beast-ransomware,,
https://www.elastic.co/security-labs/tricks-and-treats,,
https://cyble.com/blog/strela-stealer-targets-europe-stealthily-via-webdav/#new_tab,,
https://unit42.paloaltonetworks.com/edr-bypass-extortion-attempt-thwarted/,,
https://www.rapid7.com/blog/post/2024/10/30/investigating-a-sharepoint-compromise-ir-tales-from-the-field/,,
https://research.checkpoint.com/2024/the-evolution-of-transparent-tribes-new-malware/,,
https://unit42.paloaltonetworks.com/detect-dns-hijacking-passive-dns/,,
https://www.hunters.security/en/blog/veildrive-microsoft-services-malware-c2#new_tab,,
